am not,amn't,amnt,,,,
are not,aren't,arent,,,,
can not,can't,cant,cannot,,,
could have,could've,couldve,coud've,coudve,,
could not,couldn't,couldnt,coudn't,coudnt,,
could not have,couldn't've,couldntve,,,,
dare not,dare'nt,daren't,darent,,,
did not,didn't,didnt,,,,
does not,doesn't,doesnt,,,,
everyone is,everyone's,everyones,,,,
do not,don't,dont,,,,
going to,gonna,finna,,,,
give me,gimme,,,,,
got to,gotta,,,,,
had not,hadn't,hadnt,,,,
has not,hasn't,hasnt,,,,
he would,he'd,,,,,
he will,he'll,,,,,
he is,he's,hes,,,,
have not,haven't,havent,,,,
how did,how'd,howd,,,,
how will,how'll,howll,,,,
how are,how're,howre,,,,
i would,i'd,,,,,
i will,i'll,,,,,
i am,i'm,im,,,,
i have,i've,ive,,,,
is not,isn't,isnt,,,,
it would,it'd,itd,,,,
it will,it'll,itll,,,,
it is,it's,its,tis,'tis,,
let us,let's,lets,,,,
may have,may've,mayve,,,,
might have,might've,mightve,,,,
must not,musn't,mustn't,musnt,mustnt,,
must  have,must've,mustve,,,,
need not,needn't,neednt,,,,
ought not,oughtn't,oughtnt,,,,
shall not,shan't,shant,,,,
she would,she'd,,,,,
she will,she'll,,,,,
she is,she's,,,,,
should have,should've,shoud've,shouldve,shoudve,,
should not,shouldn't,shoudn't,shouldnt,shoudnt,,
should not have,shouldn't've,shouldntve,,,,
somebody is,somebody's,somebodys,,,,
someone is,someone's,someones,,,,
something is,something's,somethings,,,,
so are,so're,,,,,
that will,that'll,thatll,,,,
that is,that's,thats,,,,
that would,that'd,thatd,,,,
there would,there'd,thered,,,,
there will,there'll,therell,,,,
there are,there're,,,,,
there is,there's,theres,,,,
they would,they'd,theyd,,,,
they will,they'll,theyll,,,,
they are,they're,theyre,,,,
they have,they've,theyve,,,,
this is,this's,,,,,
those are,those're,thosere,,,,
it was,twas,'twas,,,,
was not,wasn't,wasnt,,,,
we had,we'd,,,,,
we would have,we'd've,wedve,,,,
we will,we'll,,,,,
we are,we're,,,,,
we have,we've,weve,,,,
were not,weren't,werent,,,,
what did,what'd,whatd,,,,
what will,what'll,whatll,,,,
what are,what're,whatre,,,,
